,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,25,ROC,NBA,,9,,5,5,,,,18
1950-51,26,ROC,NBA,,6,,5,6,,,,17
1951-52,27,TOT,NBA,,8,,7,9,,,,18
1951-52,27,BLB,NBA,,8,,4,4,,,,18
1951-52,27,MNL,NBA,,6,,7,9,,,6,15
1952-53,28,MNL,NBA,,7,,8,10,,,6,18
1953-54,29,MNL,NBA,,8,,6,7,,,6,18
1954-55,30,MLH,NBA,,6,,7,,,,5,14
Career,,,,,9,,8,,,,,18
3 Seasons,,MNL,NBA,,8,,8,10,,,6,18
2 Seasons,,ROC,NBA,,9,,5,6,,,,18
1 Season,,MLH,NBA,,6,,7,,,,5,14
1 Season,,BLB,NBA,,8,,4,4,,,,18
