Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Dave Sorenson,,2.6,2.1,0.7,NA,NA
Cheick Diallo,92.6,2.6,1.9,0.5,NA,NA
Bob Bedell,89.4,2.4,2.2,0.8,0.1,NA
Carey Scurry,89.1,2.6,1.8,0.9,NA,NA
Al Eberhard,87.8,2.6,1.8,0.9,0,NA
Sam Pellom,83.8,2.2,1.8,0.7,0,NA
Jim Palmer,82.9,2.4,1.9,0.2,NA,NA
Juan Hernangómez,82.4,3,1.8,0.4,NA,NA
Stan Love,80.7,2.2,2.1,0.7,0.6,NA
Alaa Abdelnaby,79.0,2.1,2,0.5,0.3,-0.1
Dave Lattin,78.6,3.2,2,0.6,0.4,0.2
