Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Chase Budinger,,3.4,3.1,3,1.4,1.3,0.9,0.7
Andrew DeClercq,89.1,3.4,3.1,2.9,2.5,1.6,1,0.4
Mike Sanders,87.4,3.9,3.1,2.7,1.2,0.8,0.8,0.6
Duane Ferrell,85.0,3.5,3.2,2.8,1.9,1.2,0.4,-0.1
Jarron Collins,84.3,4.2,3.9,3.3,1.3,1.1,1,0.7
Anthony Tolliver,84.3,3.3,3.2,2.7,2.5,1.2,0.9,0
Brad Lohaus,83.8,3.3,2.7,2.7,1.8,0.9,0.9,0.1
George Johnson,83.5,3.8,3.2,2.5,2.2,1,0.7,0.6
Scott Williams,83.2,3.9,3.1,2.6,2.3,1.7,0.9,0.3
Tim Bassett,83.0,3.7,2.6,2.4,1.5,1.4,1.1,0.1
Derrick Williams,82.9,3.6,3,2.6,2.1,1.8,1.1,0
