Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Chase Budinger,,3.4,3.1,3,1.4,1.3,0.9,0.7,NA,NA,NA,NA
Toby Kimball,87.5,3.4,3.2,2.5,2,1.2,1.2,0.4,0.2,0,NA,NA
Walter McCarty,84.7,4.1,2.9,2.9,1.8,1.1,0.7,0.5,0,0,-0.2,NA
Duane Ferrell,84.5,3.5,3.2,2.8,1.9,1.9,1.2,1,0.4,0,-0.1,-0.2
George Johnson,83.5,3.8,3.2,2.5,2.2,1,0.7,0.6,0,NA,NA,NA
Tim Bassett,83.0,3.7,2.6,2.4,1.5,1.4,1.1,0.1,NA,NA,NA,NA
Jarron Collins,82.9,4.2,3.9,3.3,1.3,1.1,1,0.7,0.2,0.1,-0.1,NA
Derrick Williams,82.9,3.6,3,2.6,2.1,1.8,1.1,0,NA,NA,NA,NA
Terry Teagle,82.4,3.1,3.1,2.7,2.1,1.3,1.3,0.7,0.2,0,-0.2,-0.8
Don Reid,82.1,2.9,2.8,2.7,2.3,1.1,1,0.9,-0.1,NA,NA,NA
Monty Williams,82.0,3.1,2.9,2.3,1.3,1.2,0.5,0.3,0,-0.1,NA,NA
