Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Eddie Mast,,0.4,0.1,-0.2,NA
Henry Ellenson,79.3,0.4,0.1,-0.2,NA
Scooter McCray,48.4,0.3,0.1,0,NA
Riney Lochmann,47.2,0.4,0.3,-0.2,NA
Ken Durrett,45.9,0.5,0.1,0,0
Andre Brown,44.7,0.4,0,-0.1,NA
Anthony Frederick,44.6,0.5,0.2,0,NA
Josh Huestis,42.8,0.5,0.2,0,NA
Justin Reed,38.7,0.4,0.3,-0.2,NA
William Franklin,37.9,0.3,0.1,-0.2,NA
Jarnell Stokes,37.4,0.5,0.1,0.1,NA
