Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Ivica Zubac,,3.2,1.1,1,NA,NA,NA
Gustavo Ayón,92.7,3.2,1.2,0.7,NA,NA,NA
Jack Toomay,82.8,3.6,1.6,1.1,NA,NA,NA
Lucas Nogueira,76.6,3.7,1.6,0.7,0,NA,NA
Steve Patterson,72.5,3,1.5,0.9,0.1,-0.7,NA
Howie Schultz,72.5,3,2,0.6,NA,NA,NA
Festus Ezeli,72.3,2.7,1.7,1.5,NA,NA,NA
Greg Stiemsma,70.5,2.7,1.7,1.5,0.1,NA,NA
Rich Niemann,69.1,4.4,1.4,1.2,0.2,NA,NA
Vladimir Stepania,68.2,2.9,1.7,0.8,0.2,-0.1,-0.3
Reggie Harding,67.6,3.1,2.6,1.6,0,NA,NA
