Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Dajuan Wagner,,0.3,0,-0.1,-0.2
Michael Phelps,-50.2,0.3,0.1,-0.1,NA
Andre Barrett,-52.1,0.4,0,0,-0.1
Brad Holland,-53.6,0.3,0.1,-0.1,NA
Elijah Millsap,-54.7,0.4,0.1,-0.1,NA
Cliff Anderson,-54.8,0.4,0.1,0,-0.2
Malcolm Lee,-59.8,0.4,0.1,0,NA
Russ Lee,-60.7,0.3,0.2,0,NA
Bob Duffy,-64.4,0.3,0.1,0.1,NA
Corey Beck,-65.2,0.4,0.2,-0.1,NA
Paul McCracken,-66.6,0.5,0,0,NA
