Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Mark Alarie,,3.1,2.2,1.5,0.9,0.6
James Singleton,92.0,3,2.3,1.1,1,0.7
Travis Outlaw,90.7,3.2,2.3,1.4,0.9,0
Ryan Bowen,90.5,3.1,2.1,1.7,1.4,0.8
Joey Graham,89.0,3,2.2,1.3,1.1,0.3
Noah Vonleh,88.0,3.2,1.8,1.6,1.2,0.5
Toby Kimball,87.9,3.2,2.5,1.2,1.2,0.4
Joel Kramer,87.2,3,2.9,1.4,1,0.8
Brad Lohaus,86.4,3.3,2.7,1.8,0.9,0.9
Mark Bryant,85.7,3.2,2.1,2.1,1.1,1
Darren Daye,85.2,3.8,2.4,1.3,1.2,0.6
