Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Mark Alarie,,3.1,2.2,1.5,0.9,0.6,NA,NA,NA,NA
James Singleton,92.0,3,2.3,1.1,1,0.7,NA,NA,NA,NA
Joey Graham,88.5,3,2.2,1.3,1.1,0.3,0,NA,NA,NA
Noah Vonleh,88.0,3.2,1.8,1.6,1.2,0.5,NA,NA,NA,NA
Joel Kramer,87.2,3,2.9,1.4,1,0.8,NA,NA,NA,NA
Ira Newble,87.1,3.3,2.3,1.9,0.9,0.5,0.2,0.1,0.1,NA
Darren Daye,85.2,3.8,2.4,1.3,1.2,0.6,NA,NA,NA,NA
Bruce Seals,84.8,2.9,2.4,1.6,0.6,0.3,NA,NA,NA,NA
Sam Mack,83.7,2.8,1.9,1.3,1.1,0.3,0,-0.1,NA,NA
George Trapp,83.5,3.5,2.4,1.5,1,0.1,-0.2,NA,NA,NA
Marty Conlon,82.9,3.1,1.8,1.4,1,0.8,0.6,0.3,0,-0.1
