Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Freddie Lewis,,7.6,7.5,7.3,7.2,6.2,6,5.2,3.2,3,0.5,0
Jo Jo White,90.7,8,7.4,7.3,6.7,6.5,6.1,5.4,2,1.7,1.5,1.1
Jason Richardson,89.6,7.4,7.3,6.9,6.6,5.8,5.7,5.2,3.7,3,2.9,2.8
Joe Johnson,89.1,8.4,7.6,7.6,7,6.4,6,5.1,4.2,3.3,3,2.8
David Wesley,89.0,7.6,7,6.3,6.1,6.1,5.8,4.8,2.8,2.6,2.6,0.6
Allan Houston,88.9,8.6,7.5,7.2,7.1,6.1,4.7,4.7,3.8,3.1,2.9,-1.2
John Starks,88.2,7.5,6.4,6.2,5.8,5.8,5.7,4.6,3,2.4,0.6,0
Pete Maravich,88.0,7.6,7.6,7.1,6.4,6.2,4.2,3.9,2.9,0.5,0.1,NA
Richard Hamilton,87.4,8.1,8.1,7.7,7.6,7.4,7.3,4.5,4,2.4,1.4,0.7
Andy Phillip,87.4,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,1.5,NA
Damon Stoudamire,87.3,7.6,6.7,6.6,6.1,5.9,5.7,4.7,4.3,3.6,1.7,1.6
