,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,23,CIN,NBA,,10,,,,,,5,7,,,,,,,,,22
1967-68,24,INA,ABA,,18,,3,,,,15,17,,,,,,,,,43
1968-69,25,INA,ABA,,16,,4,,,,14,17,,,,,,,,,43
1969-70,26,INA,ABA,,13,,3,,,,13,16,,,,,,,,,34
1970-71,27,INA,ABA,,17,,4,,,,11,16,,,,,,,,,43
1971-72,28,INA,ABA,,13,,3,,,,12,12,,,,,,,,,32
1972-73,29,INA,ABA,,13,,2,,,,11,12,,,,,,,,,34
1973-74,30,INA,ABA,,13,,2,,,,8,10,,,,,,,,,32
1974-75,31,TOT,ABA,,16,,3,,,,17,21,,,,,,,,,39
1974-75,31,MMS,ABA,,13,,1,,,,8,9,,,,,,,,,34
1974-75,31,SSL,ABA,,16,,3,,,,17,21,,,,,,,,,39
1975-76,32,SSL,ABA,,14,,3,,,,12,13,,,,,,,,,32
1976-77,33,IND,NBA,,10,,,,,,9,10,,,,,,,,,29
Career,,,TOT,,18,,,,,,17,21,,,,,,,,,43
,,,NBA,,10,,,,,,9,10,,,,,,,,,29
,,,ABA,,18,,4,,,,17,21,,,,,,,,,43
,,,,,,,,,,,,,,,,,,,,,
8 Seasons,,"INA,IND",ABA,,18,,,,,,15,17,,,,,,,,,43
2 Seasons,,SSL,ABA,,16,,3,,,,17,21,,,,,,,,,39
1 Season,,CIN,NBA,,10,,,,,,5,7,,,,,,,,,22
1 Season,,MMS,ABA,,13,,1,,,,8,9,,,,,,,,,34
