Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Med Park,,1.9,1.9,1.8,1.6,0.4
Lee Mayberry,92.7,2.1,1.8,1.6,1.6,0.4
Jerry Fleishman,85.9,2.2,2.1,1.6,1.3,0.6
Mike Bratz,84.6,2.7,2.1,1.7,1.5,0.4
Gordan Giriček,84.4,2.4,1.9,1.8,1.6,-0.2
Brian Roberts,83.1,2.2,2.2,1.8,1,0.2
Juan Dixon,81.2,2,1.7,1.4,1.2,0.1
Damon Jones,81.1,1.9,1.8,1.5,0.7,0.7
Dion Waiters,80.5,2.1,1.6,1.6,1.1,0.9
Joe Hassett,79.9,2,1.6,1.4,0.9,0.5
Iman Shumpert,77.5,2.4,2,1.9,1.7,1.5
