Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Med Park,,1.9,1.9,1.8,1.6,0.4,NA,NA,NA
Gordan Giriček,88.5,2.4,1.9,1.8,1.6,0.5,-0.2,NA,NA
Lee Mayberry,87.8,2.1,1.8,1.6,1.6,0.4,0.4,-0.1,NA
Jerry Fleishman,85.9,2.2,2.1,1.6,1.3,0.6,NA,NA,NA
Brian Roberts,83.1,2.2,2.2,1.8,1,0.2,NA,NA,NA
Joe Hassett,79.6,2,1.6,1.4,0.9,0.5,0,NA,NA
Will Bynum,78.2,1.9,1.7,1.5,1.3,1,-0.1,-0.2,-0.2
Juan Dixon,78.2,2,1.7,1.4,1.2,0.4,0.1,-0.5,NA
Leon Wood,76.6,2.2,2,1.9,0.6,0.3,-0.2,NA,NA
Nelson Bobb,76.4,2,1.8,1.2,1.1,NA,NA,NA,NA
Dave Wohl,74.2,2.1,1.7,1.4,1,0.2,0,-0.2,NA
