Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Grant Long,,8.4,7.7,6.6,6.5,5.1,5,4.9,4.6,2.7,2.6,2.4,1.6,1.4,0.4,0.2,NA,NA
Metta World Peace,91.0,8,7.2,6.7,5.5,5.3,4.7,4.6,4.4,3.7,2.7,2.6,2.3,1.9,1.3,0.3,0.1,-0.2
Armen Gilliam,91.0,7.6,6.8,6.7,6.6,5.3,5.1,4.6,4.5,4.1,2.8,1.5,1.3,1.2,NA,NA,NA,NA
Brian Grant,89.9,8.7,7.7,6.3,5.9,5.3,4.9,4.8,4.7,3.5,1.6,1,0.2,NA,NA,NA,NA,NA
Hedo Türkoğlu,89.5,9,7.6,7.3,6.8,6.7,5.2,4.9,3.4,3.4,2.8,2.6,2.1,1.2,0.8,-0.5,NA,NA
Scott Wedman,89.3,8.6,7.8,7.1,6,4.9,4.8,4.7,2.7,2.2,2.2,1.6,1.2,-0.1,NA,NA,NA,NA
Derrick McKey,89.2,7.4,7.4,6.6,6.4,6.3,5.7,5,4.1,3.9,2.1,1.8,1.6,1.6,1.4,0.4,NA,NA
Tom Sanders,88.7,7.6,7.5,7.2,6.8,5.5,5.4,4.3,4,3,3,2.4,0,-0.2,NA,NA,NA,NA
Antonio Davis,88.3,7.4,7.2,6.5,6.1,6,5.2,5,4,3.9,3.8,2.2,2,0.3,NA,NA,NA,NA
Bill Bridges,88.2,8.6,7.6,6.7,6.7,6.6,6.5,3.9,3.9,3.1,2.8,2.6,0.6,0.2,NA,NA,NA,NA
Maurice Lucas,88.1,8.7,7.4,7.1,6.4,6.2,5.8,5.5,4.7,4,3.5,2.5,2.4,2.4,2.3,NA,NA,NA
