Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,23,ANA,ABA,SG,77,2441,17.9,0.522,0.009,0.605,NA,NA,7.7,22.5,18.8,24.4,NA,6,0.9,6.9,0.136
1968-69,24,TOT,ABA,SG,77,2097,13.8,0.497,0.031,0.539,NA,NA,6.2,24.1,20.9,23.7,NA,2.2,1.9,4,0.093
1968-69,24,LAS,ABA,SG,17,490,16.6,0.514,0.019,0.628,NA,NA,7.5,23.7,21.2,26.1,NA,0.8,0.4,1.1,0.111
1968-69,24,MNP,ABA,SG,8,54,-1.2,0.381,0,0.286,NA,NA,9.9,29,37.2,24.7,NA,-0.1,0.1,0,0.033
1968-69,24,INA,ABA,SG,24,725,13.3,0.525,0.024,0.661,NA,NA,5.7,22.1,21.4,19.8,NA,1.1,0.9,2,0.131
1968-69,24,NYA,ABA,SG,28,828,13.7,0.475,0.043,0.429,NA,NA,5.6,25.9,19.3,25.6,NA,0.4,0.5,0.9,0.053
1969-70,25,TOT,ABA,SG,72,1058,9.2,0.488,0.04,0.565,NA,NA,5.8,20.4,25.6,20.7,NA,0.6,1,1.7,0.076
1969-70,25,NYA,ABA,SG,11,232,10.8,0.436,0.051,0.356,NA,NA,7.2,16,18,27,NA,-0.2,0.2,0,0
1969-70,25,PTP,ABA,SG,14,306,11.7,0.477,0.028,0.598,NA,NA,6.7,22.5,22.4,20.5,NA,0.1,0.3,0.4,0.062
1969-70,25,INA,ABA,SG,32,381,7.8,0.561,0.043,0.645,NA,NA,4.8,23.3,34.5,18.3,NA,0.7,0.4,1.1,0.134
1969-70,25,KEN,ABA,SG,15,139,5,0.484,0.029,0.971,NA,NA,4.1,15.1,28.1,17.6,NA,0.1,0.2,0.2,0.073
Career,NA,,ABA,,226,5596,14.7,0.508,0.022,0.574,NA,NA,6.8,22.7,20.7,23.4,NA,8.8,3.8,12.6,0.108
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"ANA,LAS",ABA,,94,2931,17.7,0.521,0.011,0.608,NA,NA,7.7,22.7,19.2,24.7,NA,6.8,1.2,8.1,0.132
2 seasons,NA,INA,ABA,,56,1106,11.4,0.535,0.03,0.657,NA,NA,5.4,22.5,25.5,19.2,NA,1.7,1.3,3,0.132
2 seasons,NA,NYA,ABA,,39,1060,13,0.466,0.045,0.412,NA,NA,5.9,23.7,19,25.9,NA,0.2,0.7,0.9,0.041
2 seasons,NA,"MNP,PTP",ABA,,22,360,9.8,0.463,0.023,0.547,NA,NA,7.1,23.5,25,21.1,NA,0,0.4,0.4,0.058
1 season,NA,KEN,ABA,,15,139,5,0.484,0.029,0.971,NA,NA,4.1,15.1,28.1,17.6,NA,0.1,0.2,0.2,0.073
