Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23,ANA,ABA,SG,77,NA,2441,6.5,15.6,0.415,0,0.1,0.2,6.4,15.4,0.417,7.6,9.4,0.811,NA,NA,6.4,5.4,4.6,4.3,20.6
1968-69,24,TOT,ABA,SG,77,NA,2097,5.9,15,0.393,0.1,0.5,0.111,5.9,14.6,0.402,6.6,8.1,0.818,2.4,2.6,5,6.1,4.9,4.9,18.5
1968-69,24,LAS,ABA,SG,17,NA,490,6.2,15.8,0.391,0.1,0.3,0.25,6.1,15.5,0.393,8.3,9.9,0.837,3.2,2.7,6,5.7,5.4,4.2,20.7
1968-69,24,MNP,ABA,SG,8,NA,54,4,14,0.286,0,0,NA,4,14,0.286,4,4,1,2,6,8,8,9.3,11.3,12
1968-69,24,INA,ABA,SG,24,NA,725,5,12.2,0.412,0,0.3,0.167,5,11.9,0.418,6.4,8,0.796,2,2.7,4.7,6.2,4.3,5.2,16.5
1968-69,24,NYA,ABA,SG,28,NA,828,6.7,17.1,0.388,0,0.7,0.059,6.6,16.4,0.403,6,7.3,0.817,2.3,2.2,4.5,6,4.9,4.7,19.3
1969-70,25,TOT,ABA,SG,72,NA,1058,4.3,12,0.361,0.2,0.5,0.357,4.2,11.5,0.361,5.8,6.8,0.854,2.5,2.1,4.7,5.7,5.1,5.9,14.6
1969-70,25,NYA,ABA,SG,11,NA,232,6.2,18.3,0.339,0.3,0.9,0.333,5.9,17.4,0.339,5.7,6.5,0.881,3.4,2,5.4,4,4.7,4.5,18.5
1969-70,25,PTP,ABA,SG,14,NA,306,4.2,12.6,0.336,0.1,0.4,0.333,4.1,12.2,0.337,6.6,7.5,0.875,2.7,2.9,5.6,6.5,4.6,5.6,15.2
1969-70,25,INA,ABA,SG,32,NA,381,3.9,8.8,0.441,0.2,0.4,0.5,3.7,8.4,0.438,4.7,5.7,0.833,2.2,1.7,3.9,6.5,6,6.9,12.7
1969-70,25,KEN,ABA,SG,15,NA,139,2.6,8.8,0.294,0,0.3,0,2.6,8.5,0.303,7,8.5,0.818,1.6,1.8,3.4,4.4,4.9,6.2,12.2
Career,NA,,ABA,,226,NA,5596,5.9,14.7,0.398,0.1,0.3,0.196,5.8,14.4,0.403,6.9,8.4,0.82,2.4,2.4,5.5,5.7,4.8,4.8,18.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"ANA,LAS",ABA,,94,NA,2931,6.4,15.6,0.411,0,0.2,0.214,6.4,15.5,0.413,7.8,9.5,0.815,3.2,2.7,6.3,5.4,4.7,4.3,20.6
2 seasons,NA,INA,ABA,,56,NA,1106,4.6,11,0.42,0.1,0.3,0.3,4.5,10.7,0.424,5.8,7.2,0.806,2.1,2.4,4.4,6.3,4.8,5.8,15.2
2 seasons,NA,NYA,ABA,,39,NA,1060,6.6,17.4,0.377,0.1,0.8,0.13,6.5,16.6,0.389,5.9,7.2,0.829,2.5,2.1,4.7,5.6,4.8,4.7,19.2
2 seasons,NA,"MNP,PTP",ABA,,22,NA,360,4.2,12.8,0.328,0.1,0.3,0.333,4.1,12.5,0.328,6.2,7,0.886,2.6,3.4,6,6.7,5.3,6.5,14.7
1 season,NA,KEN,ABA,,15,NA,139,2.6,8.8,0.294,0,0.3,0,2.6,8.5,0.303,7,8.5,0.818,1.6,1.8,3.4,4.4,4.9,6.2,12.2
