Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Stephen Chubin,,6.9,4,1.7,NA,NA,NA,NA,NA,NA,NA
Malcolm Brogdon,88.5,6.5,4.1,2.7,NA,NA,NA,NA,NA,NA,NA
Charles Beasley,80.9,8,4.1,2.6,0.7,NA,NA,NA,NA,NA,NA
Buddy Jeannette,78.7,8.2,4.9,2.6,NA,NA,NA,NA,NA,NA,NA
Joe Harris,78.2,5.5,4,0.8,0.2,0,NA,NA,NA,NA,NA
Tim Legler,78.2,6.8,3.4,1,0.8,0.3,0.1,0,0,-0.1,-0.3
Jamal Murray,77.3,5.5,5.1,1.3,NA,NA,NA,NA,NA,NA,NA
Buddy Hield,76.8,5.9,2.8,1.3,NA,NA,NA,NA,NA,NA,NA
Terry Rozier,76.2,5.6,3.2,1.4,-0.3,NA,NA,NA,NA,NA,NA
Spencer Dinwiddie,74.7,5.7,4.8,2.8,0.1,0.1,NA,NA,NA,NA,NA
Rudy Fernández,73.9,6.1,3.8,3,1.2,NA,NA,NA,NA,NA,NA
