,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23,ANA,ABA,,16,,1,,,,18,19,,,,,,,42
1968-69,24,TOT,ABA,,15,,1,,,,17,19,,,,,,,40
1968-69,24,LAS,ABA,,13,,1,,,,17,19,,,,,,,40
1968-69,24,MNP,ABA,,2,,0,,,,2,2,,,,,,,4
1968-69,24,INA,ABA,,9,,1,,,,12,13,,,,,,,24
1968-69,24,NYA,ABA,,15,,1,,,,16,17,,,,,,,37
1969-70,25,TOT,ABA,,10,,1,,,,11,12,,,,,,,25
1969-70,25,NYA,ABA,,10,,1,,,,11,12,,,,,,,25
1969-70,25,PTP,ABA,,8,,1,,,,10,10,,,,,,,22
1969-70,25,INA,ABA,,4,,1,,,,7,7,,,,,,,14
1969-70,25,KEN,ABA,,3,,0,,,,8,10,,,,,,,14
Career,,,,,16,,1,,,,18,19,,,,,,,42
2 Seasons,,"ANA,LAS",ABA,,16,,1,,,,18,19,,,,,,,42
2 Seasons,,INA,ABA,,9,,1,,,,12,13,,,,,,,24
2 Seasons,,NYA,ABA,,15,,1,,,,16,17,,,,,,,37
2 Seasons,,"MNP,PTP",ABA,,8,,1,,,,10,10,,,,,,,22
1 Season,,KEN,ABA,,3,,0,,,,8,10,,,,,,,14
