Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jay Humphries,,8.6,7.6,5.8,4.9,4.8,4.5,3.5,2,1.9,1.8,-0.4
Wesley Matthews,91.6,8.2,7.2,6.2,4.8,4.7,4.6,3.7,3.1,2.7,2.6,NA
Kendall Gill,91.2,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.8,-0.4
Muggsy Bogues,88.7,8.6,6.7,6.4,5.9,5,4.8,4.8,2.6,2.3,1.7,0
Brian Taylor,88.7,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,NA
Norm Van Lier,88.5,7.7,7.7,6,5.6,5.5,5.2,3.8,3.2,2.1,1.1,NA
Kenny Smith,88.0,9,8.2,6.1,6.1,5.1,4.1,2.9,2.6,2.2,0.6,NA
Michael Adams,87.9,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1
Latrell Sprewell,87.9,8.1,8,6.6,5.5,5.1,4,3.2,3,2.8,2,0.4
Jerry Stackhouse,87.9,9.2,7.3,6.5,5.8,4.7,3.5,2.4,2.1,1.9,1.2,0.2
Avery Johnson,87.7,9.1,8,6.7,5.2,4.1,3.9,3.4,1.6,1.3,0.5,0.3
