Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1954-55,22,TOT,NBA,SF,23,NA,376,44,115,0.383,22,47,0.468,105,20,62,110
1954-55,22,SYR,NBA,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-55,22,MLH,NBA,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-55,22,PHW,NBA,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-56,23,PHW,NBA,SF,54,NA,402,50,129,0.388,32,53,0.604,117,26,80,132
1956-57,24,PHW,NBA,SF,57,NA,400,43,106,0.406,37,46,0.804,116,21,75,123
Career,NA,,NBA,,134,NA,1178,137,350,0.391,91,146,0.623,338,67,217,365
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,PHW,NBA,,111,NA,802,93,235,0.396,69,99,0.697,233,47,155,255
1 season,NA,MLH,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,SYR,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
