Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Ronald Franz,,5.9,3.7,3.3,2.2,2.1,0.9
Trevor Ariza,94.1,6.1,3.4,3.2,2.1,1.8,0.9
Michael Kidd-Gilchrist,93.2,5.8,3.8,3.3,3.1,2.1,0.6
Bingo Smith,91.8,6.1,4.2,3.3,2.4,1.6,1.1
Alan Henderson,90.9,6,4.3,3.1,2,1.9,1.3
Ray Scott,90.7,5.3,3.5,3.4,2.5,2.4,1.3
Robert Covington,90.2,6.1,4,3.1,2.5,2,0.1
Buck Johnson,90.1,6.2,4.6,3.6,2.3,2.1,0.7
Earl Lloyd,90.1,5.2,3.6,2.9,2.4,2.2,0.6
Phil Jackson,89.1,5.6,4.2,3.2,2.5,1.7,0.5
Donald Royal,88.0,5.1,3.8,3.6,2.3,1.6,1.3
