Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Ronald Franz,,5.9,3.7,3.3,2.2,2.1,0.9,NA,NA,NA,NA
Robert Covington,90.2,6.1,4,3.1,2.5,2,0.1,NA,NA,NA,NA
Scott May,87.7,5.4,4.2,3.1,2.4,2.2,0.1,-0.1,NA,NA,NA
Buck Johnson,87.0,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA,NA,NA
George Irvine,86.7,5.5,3.7,3.2,2.5,1.2,0,NA,NA,NA,NA
Michael Kidd-Gilchrist,85.7,5.8,3.8,3.3,3.1,2.5,2.1,0.6,NA,NA,NA
Wayne Hightower,84.7,5.8,4.2,4,2.9,2.2,0.7,0,0,-0.2,-0.8
Earl Lloyd,84.5,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,NA
Kenny Walker,84.5,4.7,4,3.1,2.7,1.9,1.3,0.1,NA,NA,NA
Andray Blatche,83.9,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1,NA
Tyler Zeller,83.1,6.5,2.9,2.6,2,1.7,1,0.3,NA,NA,NA
