Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,22,OAK,ABA,SF,74,2080,11.8,0.452,0.107,0.316,NA,NA,9.8,9.1,NA,NA,14.4,21,NA,0.5,0.5,0.9,0.022
1968-69,23,NOB,ABA,SF,73,2195,16.1,0.519,0.036,0.456,NA,NA,10.3,11.9,NA,NA,14.6,20.1,NA,3,2.8,5.9,0.128
1969-70,24,NOB,ABA,SF,55,1305,14.2,0.478,0.046,0.473,NA,NA,10,10.4,NA,NA,15,22.9,NA,0.4,1.7,2.1,0.077
1970-71,25,FLO,ABA,SF,67,1596,15.1,0.541,0.035,0.407,NA,NA,9.4,8.6,NA,NA,14.1,20.4,NA,2.6,1,3.7,0.11
1971-72,26,FLO,ABA,SF,74,1822,13.9,0.528,0.016,0.345,5.7,12.6,9.1,7.6,NA,NA,10.7,19.3,NA,2.2,1.1,3.3,0.087
1972-73,27,TOT,ABA,SF,60,914,14.9,0.565,0.013,0.663,7.1,14,10.4,10.5,NA,NA,16.6,20,NA,1.8,0.5,2.2,0.117
1972-73,27,MMT,ABA,SF,23,403,12.6,0.525,0.008,0.512,7.5,13.5,10.5,8.7,NA,NA,15.5,18,NA,0.4,0.1,0.5,0.06
1972-73,27,DLC,ABA,SF,37,511,16.7,0.591,0.017,0.776,6.7,14.4,10.4,11.9,NA,NA,17.4,21.6,NA,1.4,0.3,1.7,0.162
Career,NA,,ABA,,403,9912,14.2,0.507,0.048,0.414,6.2,13.1,9.8,9.7,NA,NA,14,20.5,NA,10.5,7.6,18.1,0.088
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"NOB,MMT",ABA,,151,3903,15.1,0.505,0.037,0.467,7.5,13.5,10.2,11.1,NA,NA,14.8,20.8,NA,3.8,4.6,8.5,0.104
2 seasons,NA,FLO,ABA,,141,3418,14.4,0.534,0.025,0.374,5.7,12.6,9.2,8.1,NA,NA,12.3,19.8,NA,4.8,2.2,7,0.098
1 season,NA,OAK,ABA,,74,2080,11.8,0.452,0.107,0.316,NA,NA,9.8,9.1,NA,NA,14.4,21,NA,0.5,0.5,0.9,0.022
1 season,NA,DLC,ABA,,37,511,16.7,0.591,0.017,0.776,6.7,14.4,10.4,11.9,NA,NA,17.4,21.6,NA,1.4,0.3,1.7,0.162
