,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,22,OAK,ABA,,12,,2,,,,10,13,,,,,,,,,30
1968-69,23,NOB,ABA,,11,,2,,,,9,12,,,,,,,,,27
1969-70,24,NOB,ABA,,10,,1,,,,9,12,,,,,,,,,26
1970-71,25,FLO,ABA,,14,,2,,,,10,12,,,,,,,,,33
1971-72,26,FLO,ABA,,10,,1,,,,8,11,,,,,,,,,24
1972-73,27,TOT,ABA,,7,,1,,,,11,15,,,,,,,,,19
1972-73,27,MMT,ABA,,7,,0,,,,5,7,,,,,,,,,16
1972-73,27,DLC,ABA,,7,,1,,,,11,15,,,,,,,,,19
Career,,,,,14,,2,,,,11,15,,,,,,,,,33
3 Seasons,,"MMT,NOB",ABA,,11,,2,,,,9,12,,,,,,,,,27
2 Seasons,,FLO,ABA,,14,,2,,,,10,12,,,,,,,,,33
1 Season,,OAK,ABA,,12,,2,,,,10,13,,,,,,,,,30
1 Season,,DLC,ABA,,7,,1,,,,11,15,,,,,,,,,19
