Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Cliff Meely,,1.8,1.2,1,0.4,0.2
Jud Buechler,86.3,1.8,1.5,1.2,0.5,0.4
Bob Portman,86.0,1.9,1.2,0.8,0.5,NA
Scott Hastings,85.1,2.1,1.3,0.8,0.4,0.1
Brian Scalabrine,85.0,1.7,1.4,1,0.3,-0.1
Henry Walker,84.3,1.9,1.1,0.9,0.5,0.5
Darvin Ham,83.9,1.7,1.2,0.9,0.9,0.1
Anthony Randolph,82.6,1.6,1.5,1.1,0.5,0.5
Rafael Addison,82.3,1.5,1.5,0.9,0.4,0.2
Steve Novak,80.4,2.2,1.1,0.9,0.4,0.3
Byron Houston,80.2,1.8,0.9,0.7,0.5,NA
