,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1971-72,24,HOU,NBA,,12,,9,10,,,,,,,,29
1972-73,25,HOU,NBA,,11,,7,8,,,,,,,,22
1973-74,26,HOU,NBA,,10,,6,9,,,,,,,,22
1974-75,27,HOU,NBA,,9,,6,6,,,,,,,,21
1975-76,28,TOT,NBA,,7,,7,10,,,,,,,,15
1975-76,28,HOU,NBA,,7,,3,4,,,,,,,,15
1975-76,28,LAL,NBA,,4,6,7,10,,,7,2,,,5,11
Career,,,,,12,,9,10,,,,,,,,29
5 Seasons,,HOU,NBA,,12,,9,10,,,,,,,,29
1 Season,,LAL,NBA,,4,6,7,10,,,7,2,,,5,11
