Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Cliff Meely,,1.8,1.2,1,0.4,0.2,NA,NA,NA
Tony Brown,91.5,1.8,1.3,0.9,0.5,0.2,0.2,0,NA
Bob Portman,86.0,1.9,1.2,0.8,0.5,NA,NA,NA,NA
Henry Walker,84.3,1.9,1.1,0.9,0.5,0.5,NA,NA,NA
Byron Houston,80.2,1.8,0.9,0.7,0.5,NA,NA,NA,NA
Solomon Jones,79.7,1.9,1.6,0.8,0.5,0.3,0,0,-0.1
Thomas Robinson,79.6,1.6,1.5,0.9,0.6,-0.1,NA,NA,NA
Tellis Frank,79.3,2,1.1,0.6,0.3,0.1,NA,NA,NA
Pete Verhoeven,78.2,2.1,1.2,0.8,0.7,0.4,0,NA,NA
D.J. White,78.1,1.8,0.8,0.6,0.4,0.2,0,NA,NA
Dominic McGuire,77.7,1.7,1.5,0.9,0.3,0,-0.2,NA,NA
