,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,29,ORL,NBA,PF,80,2534,,,18%,72%,10%,+3.7,+7.3,72,27,113,20,90,0,512,18,38
2001-02,30,TOT,NBA,PF,83,1928,,,5%,65%,30%,+2.3,+2.4,52,20,110,11,43,0,275,16,42
2001-02,30,ORL,NBA,PF,10,160,,,44%,53%,3%,+10.6,+9.2,6,1,17,1,7,0,14,2,3
2001-02,30,PHO,NBA,PF,73,1768,,,2%,66%,32%,+1.5,+4.2,46,19,93,10,36,0,261,14,39
2002-03,31,PHO,NBA,C,80,1800,,,,38%,62%,+5.5,+7.8,35,16,91,12,51,0,243,17,25
2003-04,32,MEM,NBA,PF,82,1606,,,1%,98%,1%,+6.3,+5.8,31,23,72,7,49,0,200,12,30
2004-05,33,PHO,NBA,PF,39,214,,1%,14%,80%,4%,-6.3,-14.6,6,1,13,0,6,0,30,2,5
2005-06,34,ORL,NBA,PF,32,355,,,2%,95%,3%,-1.4,-0.3,7,3,20,3,2,8,30,1,4
2006-07,35,ORL,NBA,PF,41,460,,,5%,90%,5%,-0.1,-1.3,12,3,31,2,7,6,37,3,7
2007-08,36,ORL,NBA,PF,2,7,,,,95%,5%,-30.8,-36.7,0,0,0,1,0,0,0,0,0
Career,,,NBA,,439,8904,,,7%,70%,22%,+3.6,+4.8,215,93,450,56,248,14,1327,69,151
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,PHO,NBA,,192,3782,,,2%,54%,45%,+3.0,+4.8,87,36,197,22,93,0,534,33,69
5 seasons,,ORL,NBA,,165,3516,,,16%,76%,8%,+3.0,+5.4,97,34,181,27,106,14,593,24,52
1 season,,MEM,NBA,,82,1606,,,1%,98%,1%,+6.3,+5.8,31,23,72,7,49,0,200,12,30
