Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Steve Alford,,1.4,0.9,0.6,0.3,NA,NA
MarShon Brooks,84.5,1.3,0.8,0.7,0.4,0.1,NA
Nik Stauskas,78.0,1.4,1.1,0.5,0.5,0.3,NA
Dante Exum,77.2,1.2,1,0.7,-0.1,NA,NA
Reggie Jordan,74.7,1.2,0.8,0.6,0.4,0.3,-0.2
Richie Frahm,74.0,1.5,1,0.5,-0.2,NA,NA
Norris Cole,73.8,1.4,1.2,0.6,0,-0.1,-0.1
Jordan Hamilton,73.6,1.6,0.8,0.3,0.2,0.1,NA
James Anderson,73.0,1.9,0.9,0.5,0.3,-0.3,NA
Isaiah Canaan,72.8,1.4,1.4,0.6,0.5,0.2,0.1
Chris Smith,72.7,1.2,1.1,0.9,NA,NA,NA
