Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Steve Alford,,1.4,0.9,0.6,0.3
Howard Komives,91.6,1.5,1,0.7,0.3
Keith Askins,89.6,1.4,0.7,0.6,0.3
MarShon Brooks,88.1,1.3,0.8,0.7,0.4
Reggie Jordan,87.3,1.2,0.8,0.6,0.4
John Warren,85.2,1.7,0.8,0.5,0.3
Michael Carter-Williams,81.9,1.3,1.2,0.8,0.2
Patty Mills,80.4,1.5,0.9,0.7,0
James Anderson,80.2,1.9,0.9,0.5,0.3
Nik Stauskas,79.3,1.4,0.5,0.5,0.3
Norris Cole,79.2,1.4,1.2,0.6,0
