Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Slater Martin,,8.2,6.3,6.2,6.1,4.7,4.2,3.5,2.4,2.4,2.2,1.4
Vern Fleming,90.5,8.4,7,6.9,6.7,5.6,4.4,3.3,2.9,2,1.9,1.4
Muggsy Bogues,90.4,8.6,6.7,6.4,5.9,5,4.8,4.8,2.6,2.3,1.7,0
Vinnie Johnson,89.6,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.2,2.7,2.3,0.2
Wesley Matthews,89.5,8.2,7.2,6.2,4.8,4.7,4.6,3.7,3.1,2.7,2.6,NA
Jameer Nelson,89.2,6.6,6,5.6,5,4.9,4,3.5,2.8,2.5,2.1,1.4
Mike Newlin,89.2,8.5,6.5,6.1,5.9,5.8,5.2,4.7,2.9,1.8,1.6,1.5
Latrell Sprewell,88.5,8.1,8,6.6,5.5,5.1,4,3.2,3,2.8,2,0.4
Ron Harper,87.7,10.2,6.3,6,5.7,5.6,4.2,3.9,3.5,2.9,2.4,0.9
Kendall Gill,87.6,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.8,-0.4
Devin Harris,87.6,7.5,6.5,5.6,4.2,4.2,4.2,3.7,3.3,2.7,2.7,1.6
