,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,24,MNL,NBA,,6,,7,10,,,,19
1950-51,25,MNL,NBA,,9,,6,9,,,,19
1951-52,26,MNL,NBA,,10,,8,9,,,6,21
1952-53,27,MNL,NBA,,10,,11,14,,,6,22
1953-54,28,MNL,NBA,,13,,7,12,,,6,27
1954-55,29,MNL,NBA,,13,,9,12,,,6,35
1955-56,30,MNL,NBA,,11,,12,14,,,6,26
1956-57,31,TOT,NBA,,11,,15,16,,,6,25
1956-57,31,NYK,NBA,,8,,8,8,,,5,21
1956-57,31,STL,NBA,,11,,15,16,,,6,25
1957-58,32,STL,NBA,,11,,10,15,,,5,27
1958-59,33,STL,NBA,,9,,8,10,,,,22
1959-60,34,STL,NBA,,7,,6,9,,,,16
Career,,,,,13,,15,16,,,,35
7 Seasons,,MNL,NBA,,13,,12,14,,,,35
4 Seasons,,STL,NBA,,11,,15,16,,,,27
1 Season,,NYK,NBA,,8,,8,8,,,5,21
