Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,24,MNL,NBA,PG,12,NA,NA,1.8,4.2,0.42,1.2,2,0.583,NA,2.1,2.9,4.7
1950-51,25,MNL,NBA,PG,7,NA,NA,2.6,7.3,0.353,2,3.9,0.519,6,3.6,2.9,7.1
1951-52,26,MNL,NBA,PG,13,NA,40.2,2.9,8.5,0.345,3.2,4.3,0.732,2.8,4.3,4.9,9
1952-53,27,MNL,NBA,PG,12,NA,37.8,3.4,8.6,0.398,3.3,4.3,0.765,2.6,3.6,4.1,10.1
1953-54,28,MNL,NBA,PG,13,NA,41,2.8,8.6,0.33,4,5.4,0.743,2.2,4.6,4,9.7
1954-55,29,MNL,NBA,PG,7,NA,45,4,13.4,0.298,5.7,7,0.816,4,4.4,3.3,13.7
1955-56,30,MNL,NBA,PG,3,NA,40.3,5.7,12.3,0.459,6.7,8,0.833,2.3,5,3,18
1956-57,31,STL,NBA,PG,10,NA,43.9,5.5,15.5,0.355,5.6,7.4,0.757,4.2,4.9,3.9,16.6
1957-58,32,STL,NBA,PG,11,NA,37.8,4,12.5,0.321,3.5,5.7,0.619,4.4,3.6,3.6,11.5
1958-59,33,STL,NBA,PG,1,NA,18,4,5,0.8,0,0,NA,3,2,2,8
1959-60,34,STL,NBA,PG,3,NA,19.3,0.3,4.3,0.077,0.3,1.3,0.25,1,2.7,3,1
Career,NA,,NBA,,92,NA,39.4,3.3,9.4,0.351,3.4,4.8,0.715,3.4,3.8,3.7,10
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,MNL,NBA,,67,NA,40.5,3,8.3,0.359,3.3,4.5,0.731,3.2,3.8,3.8,9.3
4 seasons,NA,STL,NBA,,25,NA,37.2,4.2,12.4,0.335,3.8,5.6,0.681,3.8,4,3.6,12.2
