Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Slater Martin,,8.2,6.3,6.2,6.1,4.7,4.2,3.5,2.4,2.4,2.2,1.4,NA,NA,NA,NA,NA,NA,NA
Jerry Stackhouse,89.7,9.2,7.3,6.5,5.8,4.7,4.1,3.5,2.4,2.3,2.1,1.9,1.2,0.9,0.4,0.3,0.2,0,-0.4
Wesley Matthews,89.5,8.2,7.2,6.2,4.8,4.7,4.6,3.7,3.1,2.7,2.6,NA,NA,NA,NA,NA,NA,NA,NA
Mike Newlin,89.2,8.5,6.5,6.1,5.9,5.8,5.2,4.7,2.9,1.8,1.6,1.5,NA,NA,NA,NA,NA,NA,NA
Eric Snow,89.2,8.4,6.1,5.5,5.5,3.8,3.8,2.8,2.1,1.9,1.9,1.3,0.5,-0.1,NA,NA,NA,NA,NA
Vern Fleming,88.8,8.4,7,6.9,6.7,5.6,4.4,3.3,2.9,2,1.9,1.6,1.4,NA,NA,NA,NA,NA,NA
Muggsy Bogues,88.7,8.6,6.7,6.4,5.9,5,4.8,4.8,3.7,2.6,2.3,1.7,1.7,0,-0.1,NA,NA,NA,NA
John Starks,88.2,7.5,6.4,6.2,5.8,5.8,5.7,4.6,3,2.4,2.1,0.6,0,-0.1,NA,NA,NA,NA,NA
Kendall Gill,87.8,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.9,1.8,0.7,0.5,0.4,-0.4,NA,NA,NA
Rickey Green,87.4,7.9,6.7,6.6,5.7,5.6,5.2,3.3,1.8,1.8,1.2,0.7,0.5,0.3,-0.1,NA,NA,NA,NA
Antonio Daniels,87.2,6.8,6.6,5.9,5.8,5.3,4.5,4.3,3.6,2.3,1.8,1.5,0,-1.3,NA,NA,NA,NA,NA
