Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Cedric Henderson,,3.8,0.5,0,-0.2,-0.7,NA,NA
Richard Dumas,67.8,3.9,0.3,0.3,NA,NA,NA,NA
Archie Dees,65.6,3.7,0.7,0.4,NA,NA,NA,NA
Tom Marshall,64.9,3.5,0.7,0.2,-0.3,NA,NA,NA
Wendell Ladner,56.6,4,1.1,0.2,-0.4,-1.3,NA,NA
Giff Roux,47.3,3.4,0.8,-0.5,NA,NA,NA,NA
Harthorne Wingo,45.7,3.9,1.4,0.9,0,NA,NA,NA
Paul Graham,43.4,3.6,1.9,0.2,NA,NA,NA,NA
Dorian Finney-Smith,42.5,3.3,1.4,0.1,NA,NA,NA,NA
Irv Torgoff,39.8,5.4,1,0.1,NA,NA,NA,NA
Reggie Williams,39.3,3.7,1.7,0.3,0.3,0.2,0.2,0
