,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2008-09,20,MEM,NBA,36:45,8,16,0,1,8,16,3,4,4,11,15,3,4,5,5,6,16,15.6
2009-10,21,MEM,NBA,30:43,8,13,0,1,8,13,3,4,6,8,13,2,3,3,3,5,16,16.0
2010-11,22,MEM,NBA,35:46,9,19,0,2,9,18,9,10,5,7,11,4,3,4,4,6,24,22.2
2012-13,24,MEM,NBA,29:00,9,15,2,3,9,14,3,4,4,6,9,3,2,3,4,6,20,20.8
2013-14,25,DEN,NBA,30:07,7,15,3,6,7,13,4,5,4,8,11,6,4,3,4,6,18,17.5
2014-15,26,DEN,NBA,29:29,7,17,4,9,6,15,5,6,8,8,13,6,3,3,4,6,20,17.5
2015-16,27,DEN,NBA,34:57,10,15,4,5,8,13,4,5,9,9,12,5,4,2,4,6,24,19.4
2016-17,28,DEN,NBA,27:42,5,10,4,7,4,6,8,9,4,6,8,4,4,3,3,4,16,17.2
2017-18,29,DEN,NBA,19:08,4,6,2,5,3,4,1,2,1,3,3,3,2,1,5,3,10,10.0
Career,,,,36:45,10,19,4,9,9,18,9,10,9,11,15,6,4,5,5,6,24,22.2
5 Seasons,,DEN,NBA,34:57,10,17,4,9,8,15,8,9,9,9,13,6,4,3,5,6,24,19.4
4 Seasons,,MEM,NBA,36:45,9,19,2,3,9,18,9,10,6,11,15,4,4,5,5,6,24,22.2
