Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Darrell Arthur,,3.8,2.3,1.7,1.7,1.1,0.9,0.7,0.3,0
Brian Skinner,86.2,4.1,2.7,1.9,1.9,1.1,1.1,0.9,0.3,0.1
Don Adams,84.8,3.6,2.9,1.6,1.1,0.9,0.8,0.7,NA,NA
Wally Walker,84.3,3.5,2.1,2,1.9,1.8,0.9,0.5,0.1,NA
Ryan Bowen,83.7,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2
Steve Kuberski,83.7,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0
Tony Massenburg,83.1,2.8,2.2,1.8,1.7,1.3,0.7,0.4,0.2,-0.1
Joe Bryant,82.9,3.4,2.2,1.8,1.5,1.5,1.3,1.2,0,NA
Jarvis Hayes,81.3,2.9,2.1,1.7,1.5,0.8,0.7,0.5,NA,NA
Tim Bassett,81.0,3.7,2.6,2.4,1.5,1.4,1.1,0.1,NA,NA
Wesley Johnson,81.0,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0,0
