Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Felipe López,,1.9,0.5,0.4,0.3
Emanual Davis,94.2,1.8,0.5,0.3,0.3
Bubbles Hawkins,87.1,1.9,0.6,0.3,0.1
Kedrick Brown,86.8,2,0.5,0.4,0.1
Tyronn Lue,86.1,2,0.4,0.3,0.2
John Wetzel,85.9,2,0.7,0.5,0.5
James Anderson,84.9,1.9,0.9,0.5,0.3
Kevin Williams,84.7,1.9,0.6,0.1,0.1
Treveon Graham,82.9,1.8,0.5,0.4,NA
Trajan Langdon,82.7,2,0.6,0.3,NA
John Warren,79.9,1.7,0.8,0.5,0.3
