Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Felipe López,,1.9,0.5,0.4,0.3,NA,NA
Bubbles Hawkins,87.1,1.9,0.6,0.3,0.1,NA,NA
Kedrick Brown,86.8,2,0.5,0.4,0.1,NA,NA
Emanual Davis,83.1,1.8,0.5,0.3,0.3,-0.1,-0.3
Treveon Graham,82.9,1.8,0.5,0.4,NA,NA,NA
Trajan Langdon,82.7,2,0.6,0.3,NA,NA,NA
Kevin Williams,81.6,1.9,0.6,0.1,0.1,-0.1,NA
Patrick McCaw,78.4,1.7,0.6,0.5,NA,NA,NA
James Anderson,77.8,1.9,0.9,0.5,0.3,-0.3,NA
Terence Stansbury,73.4,1.5,0.6,0.3,NA,NA,NA
Gary Phillips,71.7,1.7,0.3,0.2,0.2,-0.1,NA
