Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Johnny McCarthy,,2.6,1.9,0.5,0.2,-0.1,-0.4
Chris Quinn,84.4,2.6,2.1,0.6,0.1,0.1,-0.2
Travis Diener,79.2,2.5,1.9,0.7,0.6,0,NA
Rumeal Robinson,77.3,2.4,1.9,1,0.5,-0.1,-0.6
Rodney McGruder,76.5,2.9,1.9,0.8,NA,NA,NA
Rodrigue Beaubois,76.4,2.2,2,0.4,0.2,NA,NA
Maurice McHartley,75.8,2.4,1.8,0.8,NA,NA,NA
Jeff Judkins,73.6,3,1.8,0.7,0.6,0.2,NA
Ralph Johnson,72.0,2.9,1.6,0.8,0,NA,NA
Shabazz Napier,72.0,3.2,2,0.6,0.5,0.1,NA
Tom Garrick,71.6,2.5,1.8,1.4,0.2,NA,NA
