Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Gordan Giriček,,2.4,1.9,1.8,1.6,0.5,-0.2,NA,NA,NA,NA
Med Park,88.5,1.9,1.9,1.8,1.6,0.4,NA,NA,NA,NA,NA
Jerry Fleishman,85.5,2.2,2.1,1.6,1.3,0.6,NA,NA,NA,NA,NA
Lee Mayberry,84.1,2.1,1.8,1.6,1.6,0.4,0.4,-0.1,NA,NA,NA
Brian Roberts,80.8,2.2,2.2,1.8,1,0.2,NA,NA,NA,NA,NA
Leon Wood,78.1,2.2,2,1.9,0.6,0.3,-0.2,NA,NA,NA,NA
Trey Burke,77.8,2.4,2.4,2.1,1.9,0.9,0.5,NA,NA,NA,NA
Al Ferrari,76.3,3.3,1.9,1.4,1.4,0.9,0,NA,NA,NA,NA
Tim Frazier,75.8,2.4,2,1.4,1,-0.1,NA,NA,NA,NA,NA
Al Bianchi,75.7,2.4,1.9,1.8,1.5,0.8,0.8,0.2,-0.1,-0.4,-0.6
Greg Minor,75.4,3,2.1,1.7,0.8,0.6,NA,NA,NA,NA,NA
