,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1977-78,25,PHO,NBA,,3,6,0,0,,,2,2,1,1,1,3,6,
Career,,,,,3,6,0,0,,,2,2,1,1,1,3,6,
