Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1977-78,25,PHO,NBA,SF,2,NA,25,4.3,10.1,0.429,0,0,NA,2.9,2.9,5.8,4.3,1.4,1.4,2.9,7.2,8.6
Career,NA,,NBA,,2,NA,25,4.3,10.1,0.429,0,0,NA,2.9,2.9,5.8,4.3,1.4,1.4,2.9,7.2,8.6
