Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Seth Curry,,4.6,2.4,1.4,0,0
Carlos Arroyo,88.2,4.7,2.7,1.3,0.4,0.3
Lee Winfield,87.1,4.5,2.8,1.6,0.5,-0.1
Earl Tatum,85.5,4.4,2.6,0.7,0,NA
Kent Bazemore,85.2,4.1,2.1,1.6,0.2,0.1
Moochie Norris,83.9,4.4,1.8,1.7,-0.1,-0.2
Butch van Breda Kolff,83.5,4.4,2.5,2.3,0.2,NA
Pep Saul,82.6,4.2,2.8,1.5,0.6,NA
Michael Dickerson,82.3,5.5,2.2,1.8,0.1,-0.1
Al Butler,82.1,4.1,2.1,1.1,-0.3,NA
Keith Bogans,81.7,4.9,2.3,1.7,1.3,0.1
