Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Seth Curry,,4.6,2.4,1.4,0,0,NA,NA,NA,NA
Earl Tatum,85.5,4.4,2.6,0.7,0,NA,NA,NA,NA,NA
Butch van Breda Kolff,83.5,4.4,2.5,2.3,0.2,NA,NA,NA,NA,NA
Michael Dickerson,82.3,5.5,2.2,1.8,0.1,-0.1,NA,NA,NA,NA
Al Butler,82.1,4.1,2.1,1.1,-0.3,NA,NA,NA,NA,NA
Walt Kirk,81.6,5,2.3,0.4,NA,NA,NA,NA,NA,NA
Jason Hart,81.2,4.8,1.9,1.5,0.4,0.3,0.1,0,0,-0.3
Buddy Hield,79.1,5.9,2.8,1.3,NA,NA,NA,NA,NA,NA
Billy Ray Bates,78.6,3.6,2.4,0.9,0,NA,NA,NA,NA,NA
Matt Maloney,78.3,5.3,2.2,1.5,0.7,0.1,-0.3,NA,NA,NA
Keith Jennings,78.0,4.2,2.9,0.6,NA,NA,NA,NA,NA,NA
