Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Kenny Gattison,,4.5,3.5,3.2,3,1.5,0.7,0.5,0.1,0
Craig Smith,90.9,3.9,3.5,3.1,3,1.5,1,NA,NA,NA
Len Chappell,89.1,4.7,3.7,3.6,3.2,2.1,0.9,0.5,0.1,0.1
Lionel Simmons,87.1,4.3,3.8,3.8,2.7,1.1,0.9,0.3,NA,NA
Willie Norwood,86.7,3.8,3.5,3.3,3,2.6,1.1,0.5,NA,NA
Kenny Walker,86.5,4.7,4,3.1,2.7,1.9,1.3,0.1,NA,NA
Ronny Turiaf,86.4,4.2,3.6,3.2,3.1,1.5,1.4,1.1,0.8,0.4
Andray Blatche,86.3,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1
Danny Vranes,84.8,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA,NA
Keith Erickson,83.6,4.1,3.3,2.9,2.8,2.1,1.9,0.5,0.2,-0.2
Paul Griffin,82.6,4.9,4.4,4.1,2.9,1.6,1.4,0.4,NA,NA
