Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,25,CHS,BAA,PG,59,,,2.4,8.8,.277,1.3,1.8,.740,,2.8,2.5,6.2
1949-50,26,CHS,NBA,PG,66,,,2.2,6.4,.342,1.0,1.3,.742,,2.0,2.0,5.4
1950-51,27,Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL)
1951-52,28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1952-53,29,BOS,NBA,PG,43,,9.9,0.9,2.7,.330,0.5,0.6,.815,1.0,1.1,1.5,2.3
Career,NA,,TOT,,168,,9.9,1.9,6.3,.309,1.0,1.3,.750,1.0,2.0,2.0,4.9
,NA,,NBA,,109,,9.9,1.7,4.9,.340,0.8,1.1,.759,1.0,1.6,1.8,4.1
,NA,,BAA,,59,,,2.4,8.8,.277,1.3,1.8,.740,,2.8,2.5,6.2
,NA,,,,,,,,,,,,,,,,
2 seasons,NA,CHS,BAA,,125,,,2.3,7.5,.306,1.1,1.5,.741,,2.4,2.2,5.8
1 season,NA,BOS,NBA,,43,,9.9,0.9,2.7,.330,0.5,0.6,.815,1.0,1.1,1.5,2.3
