Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Kenny Rollins,,2.6,1.5,0.1,NA
Steve Bracey,83.8,2.1,1.5,0.3,NA
David Nwaba,80.0,2.4,1.4,0.8,NA
Ralph Johnson,78.9,2.9,1.6,0.8,0
Frank Kudelka,78.7,2.4,1.7,-0.4,NA
Quinn Cook,76.2,1.8,1.6,0.2,NA
Andrew Anderson,75.8,2.3,1.7,-0.5,NA
Harold Miner,75.6,2.7,2,-0.1,-0.4
Alfred McGuire,74.9,3.4,1.9,0.1,NA
Maurice McHartley,74.2,2.4,1.8,0.8,NA
Jim Thomas,73.7,3.5,1.6,0,-0.1
