Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Sam Young,,2.9,1.2,0.9,0.2
Sam Dekker,89.9,3.1,1.2,1,0
Marty Conlon,88.3,3.1,1.4,1,0.3
Charles Jones,86.4,2.9,0.9,0.6,0.1
Kenny Gattison,86.3,3,1.5,0.7,0
Jeff Ayres,86.0,2.4,1.3,1,0.3
Andray Blatche,84.7,3,1.4,0.5,0.1
Jeff Lamp,84.4,3,1,0.7,0.6
Al Harrington,84.2,2.6,1.2,1,-0.2
Lorenzo Williams,83.6,3.1,1.7,1.1,0.3
Derrick Jones,83.4,2.9,1.1,0.4,NA
