Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Sam Young,,2.9,1.2,0.9,0.2,NA,NA
Sam Dekker,89.9,3.1,1.2,1,0,NA,NA
Charles Jones,86.4,2.9,0.9,0.6,0.1,NA,NA
Rowland Garrett,86.1,3.1,1.1,0.8,0.5,-0.1,NA
Derrick Jones,83.4,2.9,1.1,0.4,NA,NA,NA
Darius Miller,83.1,3,1.6,0.8,0.5,-0.1,NA
Jeff Lamp,82.3,3,1,0.7,0.6,0,-0.1
John Trapp,81.1,3.3,1.2,1.2,0.6,0,NA
Grady Lewis,80.8,2.4,1.1,0.8,NA,NA,NA
Carey Scurry,80.8,2.6,1.8,0.9,NA,NA,NA
Dick Schulz,80.2,2.9,0.8,0.6,0,NA,NA
