Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Marcus Liberty,,2.4,2.2,-0.1,-0.5,NA
Jim Palmer,76.0,2.4,1.9,0.2,NA,NA
Brandon Ingram,71.6,2.8,2,-0.3,NA,NA
Bob Bedell,70.1,2.4,2.2,0.8,0.1,NA
Dave Sorenson,69.5,2.6,2.1,0.7,NA,NA
Cheick Diallo,68.2,2.6,1.9,0.5,NA,NA
Charlie Black,65.5,2.8,1.8,-0.4,NA,NA
Joe Holup,62.7,2.1,1.8,0.3,NA,NA
Juan Hernangómez,61.1,3,1.8,0.4,NA,NA
Alaa Abdelnaby,59.7,2.1,2,0.5,0.3,-0.1
Sam Pellom,58.7,2.2,1.8,0.7,0,NA
