Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Marcus Liberty,,2.4,2.2,-0.1,-0.5
Jim Palmer,76.0,2.4,1.9,0.2,NA
Dorell Wright,73.1,2.2,1.9,0.2,-0.1
Keith Erickson,72.3,2.1,1.9,0.2,-0.2
Brandon Ingram,71.6,2.8,2,-0.3,NA
Tariq Abdul-Wahad,70.1,2.2,1.4,-0.2,-0.4
Bob Bedell,70.1,2.4,2.2,0.8,0.1
Dave Sorenson,69.5,2.6,2.1,0.7,NA
Alaa Abdelnaby,68.5,2.1,2,0.5,-0.1
Cheick Diallo,68.2,2.6,1.9,0.5,NA
Jonathan Bender,67.3,2,1.7,-0.1,-0.2
