Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Tod Murphy,,6.1,1.4,0.4,0.1,0.1
Jerome Whitehead,78.3,5.3,2.1,0.2,0.2,0.1
Larry Sanders,76.9,6,1.6,1,1,0.7
Kendrick Perkins,73.5,6.2,2.3,1.4,0.7,0.1
Joel Przybilla,72.6,4.7,1.9,0.6,0.1,0.1
Jim McDaniels,72.3,7.7,0.8,0.5,0,0
Kosta Koufos,71.0,6.5,2.7,1.3,0.2,0
Craig Raymond,69.3,4.7,1.7,1,0,0
Ed Johnson,67.8,5.1,2.4,1,NA,NA
Jamie Feick,67.7,4.8,2.2,0.9,0.2,0.2
Rich Niemann,65.6,4.4,1.4,1.2,0.2,NA
