Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Chink Crossin,,2.1,1.2,0.5,NA,NA
Kevin O'Shea,96.9,2.1,1.2,0.5,NA,NA
Courtney Alexander,88.9,2.2,1.1,0.8,NA,NA
Lloyd Daniels,84.0,1.8,1.1,0.2,0.1,0
Steve Bracey,83.8,2.1,1.5,0.3,NA,NA
Corky Devlin,83.3,1.8,1.2,0.8,NA,NA
Dirk Minniefield,81.2,1.9,1.1,1.1,NA,NA
Steven Kramer,80.4,1.9,1.2,1.1,NA,NA
Alexey Shved,80.2,2.2,0.8,0.2,NA,NA
Kenny Higgs,78.2,2.2,1.5,1,NA,NA
David Nwaba,78.1,2.4,1.4,0.8,NA,NA
