Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jamie Watson,,0.8,0.3,0.1,0,NA
Scott Roth,94.6,0.7,0.3,0.1,NA,NA
Christian Wood,81.1,0.8,0.3,0.3,NA,NA
Bob Peterson,78.7,0.9,0.4,0.2,NA,NA
Michael Smith,78.1,0.7,0.3,0.3,NA,NA
Ansu Sesay,75.6,0.8,0.5,0.2,-0.1,NA
Jackie Moore,75.4,0.9,0.5,NA,NA,NA
Mel Bennett,74.5,0.7,0.3,0.1,-0.1,-0.1
Alex Poythress,74.1,0.5,0.3,0.1,NA,NA
Kenny Dennard,73.9,1.1,0.3,0.1,NA,NA
Jim Tucker,71.7,1,0.3,0,NA,NA
