,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1990-91,18,SCAROLINA,33,651,81,193,10,43,25,44,,83,77,32,13,40,41,197,.420,.233,.568,19.7,6.0,2.5,2.3
1991-92,19,SCAROLINA,28,830,92,209,5,24,22,42,,127,81,35,10,68,54,211,.440,.208,.524,29.6,7.5,4.5,2.9
1992-93,20,SCAROLINA,27,910,159,345,9,49,70,109,,136,72,41,23,79,65,397,.461,.184,.642,33.7,14.7,5.0,2.7
1993-94,21,SCAROLINA,27,924,185,403,29,98,91,135,,190,66,44,10,59,70,490,.459,.296,.674,34.2,18.1,7.0,2.4
Career,,,115,3315,517,1150,53,214,208,330,,536,296,152,56,246,230,1295,.450,.248,.630,28.8,11.3,4.7,2.6
