Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jamie Watson,,0.8,0.3,0.1,0
Scott Roth,94.6,0.7,0.3,0.1,NA
Mel Bennett,85.5,0.7,0.3,0.1,-0.1
Christian Wood,81.1,0.8,0.3,0.3,NA
Bob Peterson,78.7,0.9,0.4,0.2,NA
Michael Smith,78.1,0.7,0.3,0.3,NA
Ansu Sesay,75.6,0.8,0.5,0.2,-0.1
Jackie Moore,75.4,0.9,0.5,NA,NA
Alex Poythress,74.1,0.5,0.3,0.1,NA
Kenny Dennard,73.9,1.1,0.3,0.1,NA
Hank McDowell,72.1,0.7,0.4,0.2,0.1
