Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1973-74,23,NYK,NBA,PF,30,NA,5.6,1.1,3.2,0.347,0.4,0.5,0.75,0.6,1.2,1.8,0.3,0.1,0.1,1.2,2.6
1974-75,24,NYK,NBA,PF,62,NA,14.6,2.5,6.4,0.39,0.8,1.1,0.686,1.1,4,5.2,0.9,0.3,0.1,1.7,5.7
1975-76,25,NYK,NBA,PF,42,NA,9.7,1.8,4.6,0.394,0.5,0.7,0.759,1,2.5,3.5,0.7,0.4,0.1,1.3,4.1
1976-77,26,TOT,NBA,PF,56,NA,19.5,3,8.3,0.362,1.1,1.6,0.703,1.8,3.5,5.2,1.3,0.6,0.1,2.3,7.1
1976-77,26,NYK,NBA,PF,22,NA,15.5,1.9,5,0.373,1,1.4,0.71,1.4,3.2,4.5,1.1,0.4,0,2,4.7
1976-77,26,NYN,NBA,PF,34,NA,22.1,3.7,10.4,0.359,1.2,1.8,0.7,2,3.7,5.7,1.4,0.6,0.1,2.5,8.7
Career,NA,,NBA,,190,NA,13.5,2.3,6,0.376,0.8,1.1,0.709,1.2,3.1,4.3,0.9,0.3,0.1,1.7,5.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,NYK,NBA,,156,NA,11.7,1.9,5.1,0.383,0.7,0.9,0.712,1,3,4,0.8,0.3,0.1,1.6,4.6
1 season,NA,NYN,NBA,,34,NA,22.1,3.7,10.4,0.359,1.2,1.8,0.7,2,3.7,5.7,1.4,0.6,0.1,2.5,8.7
