,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1973-74,23,NYK,NBA,,5,,6,8,,,,,,,,12
1974-75,24,NYK,NBA,,10,,4,6,,,,,,,,24
1975-76,25,NYK,NBA,,8,,4,4,,,,,,,,20
1976-77,26,TOT,NBA,,10,,6,7,,,,,,,,25
1976-77,26,NYK,NBA,,5,,6,6,,,,,,,,13
1976-77,26,NYN,NBA,,10,,5,7,,,,,,,,25
Career,,,,,10,,6,8,,,,,,,,25
4 Seasons,,NYK,NBA,,10,,6,8,,,,,,,,24
1 Season,,NYN,NBA,,10,,5,7,,,,,,,,25
