Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Mel Davis,,0.4,0.4,-0.2,-0.4
Riney Lochmann,21.4,0.4,0.3,-0.2,NA
Anthony Bennett,18.5,0.5,0.3,0.1,-0.4
Mike Harris,9.8,0.5,0.5,0,-0.1
Josh Davis,6.5,0.5,0.3,0,0
Anthony Cook,4.0,0.5,0.4,0.1,0.1
Roderick McDonald,-1.0,0.5,0.5,0.2,NA
Gene James,-1.9,0.5,0.3,0.1,NA
Ron Grandison,-2.7,0.6,0.5,0,0
Gene Guarilia,-7.6,0.7,0.5,0.3,-0.2
Justin Reed,-8.0,0.4,0.3,-0.2,NA
