Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,23,NYK,NBA,PF,30,NA,167,9.2,26.4,0.347,3.3,4.4,0.75,4.7,10.3,15,2.2,0.8,1.1,10,21.7,NA,NA,93
1974-75,24,NYK,NBA,PF,62,NA,903,7.9,20.4,0.39,2.5,3.6,0.686,3.6,12.9,16.5,2.8,0.8,0.4,5.4,18.4,NA,NA,96
1975-76,25,NYK,NBA,PF,42,NA,408,8.6,21.8,0.394,2.5,3.3,0.759,4.9,11.9,16.7,3.5,1.8,0.6,6.3,19.7,NA,NA,95
1976-77,26,TOT,NBA,PF,56,NA,1094,7,19.4,0.362,2.7,3.8,0.703,4.1,8.1,12.2,3,1.3,0.2,5.4,16.7,NA,NA,99
1976-77,26,NYK,NBA,PF,22,NA,342,5.3,14.3,0.373,2.9,4,0.71,3.9,9.1,13,3.1,1.2,0.1,5.8,13.5,NA,NA,100
1976-77,26,NYN,NBA,PF,34,NA,752,7.8,21.8,0.359,2.6,3.7,0.7,4.2,7.7,11.9,2.9,1.4,0.2,5.2,18.2,NA,NA,99
Career,NA,,NBA,,190,NA,2572,7.7,20.6,0.376,2.6,3.7,0.709,4.1,10.5,14.6,2.9,1.2,0.4,5.9,18.1,NA,NA,97
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,NYK,NBA,,156,NA,1820,7.7,20.1,0.383,2.6,3.7,0.712,4,11.7,15.8,3,1.1,0.5,6.1,18,NA,NA,96
1 season,NA,NYN,NBA,,34,NA,752,7.8,21.8,0.359,2.6,3.7,0.7,4.2,7.7,11.9,2.9,1.4,0.2,5.2,18.2,NA,NA,99
