Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Tim Legler,,6.8,3.4,1,0.8,0.3,0.1,0,0,-0.1,-0.3
Stephen Chubin,78.2,6.9,4,1.7,NA,NA,NA,NA,NA,NA,NA
Ray Lumpp,73.6,6.7,3.3,2,1.9,1.7,NA,NA,NA,NA,NA
Brent Price,72.9,7.4,2.2,1.6,0.7,0.7,0.1,0,0,-0.6,NA
Buddy Hield,72.5,5.9,2.8,1.3,NA,NA,NA,NA,NA,NA,NA
Rick Mount,71.8,4.6,3.5,1.1,0.7,0.6,NA,NA,NA,NA,NA
Joe Harris,70.6,5.5,4,0.8,0.2,0,NA,NA,NA,NA,NA
Charles Beasley,70.1,8,4.1,2.6,0.7,NA,NA,NA,NA,NA,NA
Malcolm Brogdon,69.3,6.5,4.1,2.7,NA,NA,NA,NA,NA,NA,NA
Rudy Fernández,69.3,6.1,3.8,3,1.2,NA,NA,NA,NA,NA,NA
Terry Rozier,69.3,5.6,3.2,1.4,-0.3,NA,NA,NA,NA,NA,NA
