Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
D'Angelo Russell,,5,1.3,0.4,0
Carlos Arroyo,91.7,4.7,1.3,0.4,0.3
Terry Dehere,90.4,5,1.2,0.5,-0.4
Ron Perry,87.2,4.4,1.4,0.3,NA
Seth Curry,87.1,4.6,1.4,0,0
Jason Hart,85.9,4.8,1.9,0.3,0
Erick Strickland,84.2,4.9,1.3,0.3,-0.9
Walt Kirk,83.9,5,2.3,0.4,NA
Arvesta Kelly,83.4,4.9,0.4,0.3,-0.1
Jack McMahon,83.0,4.7,1.3,-0.2,-0.2
Darrick Martin,82.3,4.6,1.9,0.5,0.1
