Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
D'Angelo Russell,,5,1.3,0.4,0,NA,NA
Ron Perry,87.2,4.4,1.4,0.3,NA,NA,NA
Arvesta Kelly,83.9,4.9,0.4,0.3,0,-0.1,NA
Walt Kirk,83.9,5,2.3,0.4,NA,NA,NA
Terry Dehere,79.5,5,1.2,1,0.5,0,-0.4
Jeffrey Congdon,76.9,4.3,0.9,0.7,0.3,0,NA
Malik Beasley,73.6,4.5,0.3,0.2,NA,NA,NA
Mike Barrett,72.8,4.9,2.7,-0.1,NA,NA,NA
Paul Thompson,70.7,3.7,1.1,0.1,NA,NA,NA
Ernie Calverley,69.0,5.5,0.7,-0.5,NA,NA,NA
Mel Riebe,69.0,4.2,2.2,0,NA,NA,NA
